año,Importe del contrato,Código del contrato,Proveedor o contratista,Siglas de la Institución,producto,Número del procedimiento,Descripción 3,Tipo de contratación,dia,Fecha de inicio del contrato
2022,748123.6,2859150,COMERCIALIZADORA DE PRODUCTOS Y SERVICIOS DOP,SEMAR,,IA-013000999-E978-2022,,Adquisiciones,08-06-2023,2022-05-09
2022,260000.0,2782410,CORPORATIVO EN SERVICIOS DE INGENIERIA MEDICA,IMSS,Servicios,LA-050GYR039-E28-2022,,Servicios,08-06-2023,2022-09-05
2022,66245.6,2837477,SOPORTE HOSPITALARIO CENTRAL SA DE CV,IMSS,Accesorios,AA-050GYR082-E66-2022,,Adquisiciones,08-06-2023,2022-06-28
2021,1872000.0,2652698,DEWIMED SA,IMSS,Lamparas,LA-050GYR002-E331-2021,,Adquisiciones,08-06-2023,2021-12-07
2021,123220.0,2582756,FUJIFILM DE MEXICO SA DE CV,INER,Rayos x,AA-012NCD001-E399-2021,,Adquisiciones,08-06-2023,2021-08-31
2022,31950.0,2692291,GRUPO VILRAM SA DE CV,HRAEV,Servicios,AA-012NBT999-E82-2022,,Adquisiciones,08-06-2023,2022-01-26
2021,2405243.06,2612143,MEDICAL RECOVERY SA DE CV,IMSS,Consumibles,AA-050GYR004-E467-2021,,Adquisiciones,08-06-2023,2021-09-24
2022,36416.0,2812236,INNTECSA INNOVACION TECNOLOGICA PARA LA SALUD,IMSS,Servicios,AA-050GYR033-E309-2022,,Servicios,08-06-2023,2022-06-07
2021,1200000.0,2650929,LA TIENDA ORTOPEDICA SA DE CV,IMSS,Instrumental quirurgico,LA-050GYR010-E301-2021,,Adquisiciones,08-06-2023,2021-11-22
2021,873216.0,2650930,COMERCIAL DE ESPECIALIDADES MEDICAS SA DE CV,IMSS,,LA-050GYR010-E301-2021,,Adquisiciones,08-06-2023,2021-11-22
2021,1800000.0,2650931,CARL ZEISS DE MEXICO SA DE CV,IMSS,Instrumental quirurgico,LA-050GYR010-E301-2021,,Adquisiciones,08-06-2023,2021-11-22
2021,1145000.0,2650932,FEHLMEX SA DE CV,IMSS,Esterilizador,LA-050GYR010-E301-2021,,Adquisiciones,08-06-2023,2021-11-22
2021,266441.0,2650933,INDUSTRIAS COBRAMEX SA DE CV,IMSS,Mesas,LA-050GYR010-E301-2021,,Adquisiciones,08-06-2023,2021-11-22
2021,2400000.0,2650934,CSE ELECTROMEDICOS SA DE CV,IMSS,Rayos x,LA-050GYR010-E301-2021,,Adquisiciones,08-06-2023,2021-11-22
2022,1576800.0,2816974,CORPORATIVO MS SISTEMAS MEDICOS SA DE CV,IMSS,Terapia,AA-050GYR011-E219-2022,,Adquisiciones,08-06-2023,2022-07-13
2022,178437.71,2906273,DYCELAB SA DE CV,INCARD,Balanza,AA-012NCA001-E1082-2022,,Adquisiciones,08-06-2023,2022-11-15
2021,8325000.0,2652300,IMPACTO BIOMEDICO SA DE CV,IMSS,Instrumental quirurgico,AA-050GYR039-E183-2021,,Adquisiciones,08-06-2023,2021-11-12
2022,442000.0,2782379,CIBERNETICA Y MEDICINA SA DE CV,IMSS,Servicios,LA-050GYR039-E28-2022,,Servicios,08-06-2023,2022-09-05
2021,2902373.0,2612713,SILVERA CIENCIA E INGENIERIA SA DE CV,INCARD,,AA-012NCA001-E1108-2021,,Adquisiciones,08-06-2023,2021-10-11
2021,434000.0,2582736,DISTRIBUIDORA INTERNACIONAL HOSPITALARIA SA D,IMSS,Servicios,LA-050GYR033-E213-2021,,Servicios,08-06-2023,2021-09-01
2022,1026895.38,2948237,COMERCIALIZADORA CANGAS SA DE CV,OAX,Servicios,AA-920042950-E31-2022,,Servicios,08-06-2023,2022-08-31
2022,561520.0,2932081,ADVANCED STERILIZATION S DE RL DE CV,IMSS,Consumibles,AA-050GYR998-E1028-2022,,Adquisiciones,08-06-2023,2022-05-12
2022,10829819.8,2907122,ARTIMEDICA SA DE CV,INCARD,Accesorios-oxigeno,LA-012NCA001-E819-2022,,Adquisiciones,08-06-2023,2022-03-11
2022,2121558.0,2907129,GE SISTEMAS MEDICOS DE MEXICO SA DE CV,INCARD,Ultrasonido,LA-012NCA001-E819-2022,,Adquisiciones,08-06-2023,2022-03-11
2021,32759.46,2564241,ROSA YADIRA HERNANDEZ CALLO,CINVESTAV,Servicios,AA-011L4J997-E78-2021,,Servicios,08-06-2023,2021-08-04
2021,35030.0,2655731,MARIA SOCORRO DATHOLLI DE CIRIZA SOSA,INSP,Laboratorio,AA-012NDY002-E153-2021,,Adquisiciones,08-06-2023,2021-11-05
2021,2531820.0,2657393,ERGONOMIA PRODUCTIVIDAD SA DE CV,IMSS,Camas,LA-050GYR040-E41-2021,,Adquisiciones,08-06-2023,2021-12-21
2021,2500000.0,2657404,LUMAFESA S DE RL DE CV,IMSS,Camas,LA-050GYR040-E41-2021,,Adquisiciones,08-06-2023,2021-12-21
2021,1645000.0,2649311,DRAGER MEDICAL MEXICO SA DE CV,IMSS,,AA-050GYR032-E179-2021,,Adquisiciones,08-06-2023,2021-11-26
2021,5340000.0,2649316,RADIOLOGIA Y ELECTRONICA DE MEXICO SA DE CV,IMSS,Otros,AA-050GYR032-E195-2021,,Adquisiciones,08-06-2023,2021-11-26
2022,437951.82,2847720,SISTEMAS NEUMATICOS DE ENVIOS SA DE CV,IMSS,Servicios,AA-050GYR036-E210-2022,,Servicios,08-06-2023,2022-08-30
2021,1039732.0,2536466,DESARROLLO DE EQUIPOS ELECTROMEDICOS,INER,Servicios,LA-012NCD002-E35-2021,,Servicios,08-06-2023,2021-07-02
2021,85275.0,2654994,INTERCOVAMEX SA DE CV,IPICYT,Servicios,AA-03891W001-E443-2021,,Servicios,08-06-2023,2021-12-17
2021,286745.4,2536526,BIOMEDICA RAROCH SA DE CV,IMSS,Servicios,AA-050GYR057-E220-2021,,Servicios,08-06-2023,2021-06-08
2021,177850.0,2655016,CONTROL TECNICO Y REPRESENTACIONES SA DE CV,IPICYT,Servicios,AA-03891W001-E439-2021,,Servicios,08-06-2023,2021-12-17
2021,448791.3,2942553,FJ REPRESENTACIONES SA DE CV,IMSS,Servicios,AA-050GYR076-E144-2022,,Servicios,08-06-2023,2021-06-24
2021,4046195.98,2614887,GRUPO ORINLA SA DE CV,IMSS,Servicios,LA-050GYR024-E586-2021,,Servicios,08-06-2023,2021-10-16
2021,3002910.0,2570048,RELCI BIOMEDICAL SA DE CV,SEMAR,Servicios,IA-013000999-E735-2021,,Servicios,08-06-2023,2021-08-13
2021,395000.0,2612672,MANPREC SA DE CV,INCARD,,AA-012NCA001-E1107-2021,,Adquisiciones,08-06-2023,2021-10-08
2022,803349.02,2759702,MEDIPLAS SA DE CV,IMSS,Servicios,IA-050GYR016-E48-2022,,Servicios,08-06-2023,2022-02-25
2021,20280.0,2583247,CIRKLOMED SOLUCIONES INTEGRALES SA DE CV,IMSS,Consumibles,LA-050GYR039-E57-2021,,Adquisiciones,08-06-2023,2021-07-29
2021,865810.0,2535622,PRODUCTOS STANTON SA DE CV,IMSS,Servicio integral,IA-050GYR091-E63-2021,,Servicios,08-06-2023,2021-06-23
2021,31696.0,2583272,JAR MEDICAL SA DE CV,IMSS,Consumibles,LA-050GYR039-E57-2021,,Adquisiciones,08-06-2023,2021-07-29
2021,2475421.25,2947679,BECOMAR DE MEXICO S DE RL DE CV,GTO,,LA-911043999-E9-2021,,Adquisiciones,08-06-2023,2021-10-15
2021,600417.0,2947680,JJ ELECTRONICS SA DE CV,GTO,,LA-911043999-E9-2021,,Adquisiciones,08-06-2023,2021-10-15
2021,453739.66,2947681,LAB TECH INSTRUMENTACION SA DE CV,GTO,,LA-911043999-E9-2021,,Adquisiciones,08-06-2023,2021-10-15
2022,260200.0,2764860,INSTRUMENTOS Y EQUIPOS FALCON SA DE CV,CENAM,Servicios,AA-010K2H001-E131-2022,,Servicios,08-06-2023,2022-10-05
2022,7627705.0,2918651,BIONCOMED SA DE CV,SEMAR,Mastografia,AA-013000999-E1412-2022,,Adquisiciones,08-06-2023,2022-10-13
2021,98716.8,2583273,MEDICAL ADVANCED SUPPLIES SA DE CV,IMSS,Consumibles,LA-050GYR039-E57-2021,,Adquisiciones,08-06-2023,2021-09-08
2022,300000.0,2846753,CSE ELECTROMEDICOS SA DE CV,IMP,Servicios,AA-018T0O004-E205-2022,,Servicios,08-06-2023,2022-08-20
2021,255000.0,2582182,PRODUCTOS STANTON SA DE CV,IMSS,Servicio integral,AA-050GYR091-E101-2021,,Servicios,08-06-2023,2021-08-26
2021,1848000.0,2655278,DRAGER MEDICAL MEXICO SA DE CV,IMSS,Anestesia,AA-050GYR088-E189-2021,,Adquisiciones,08-06-2023,2021-12-08
2022,365518.0,2958958,LAB TECH INSTRUMENTACION SA DE CV,SLP,,LA-924016995-E108-2022,,Adquisiciones,08-06-2023,2022-12-27
2022,59000.0,2958959,EL CRISOL SA DE CV,SLP,,LA-924016995-E108-2022,,Adquisiciones,08-06-2023,2022-12-27
2022,57240.0,2949572,MATERIAL ANTISEPTICO CUTANEO SA DE CV,INNN,Servicios,AA-012NCK001-E403-2022,,Adquisiciones,08-06-2023,2022-10-14
2021,37466.0,2583688,ERIC RODRIGUEZ NAVA,IPICYT,Servicios,AA-03891W001-E208-2021,,Servicios,08-06-2023,2021-09-08
2021,560944.0,2613198,ABALAT SA DE CV,SEMAR,Servicios,AA-013000999-E1352-2021,,Servicios,08-06-2023,2021-10-11
2021,103650.0,2654967,REAVEL SA DE CV,IPICYT,Servicios,AA-03891W001-E462-2021,,Servicios,08-06-2023,2021-12-17
2021,450000.0,2658273,MARIA CELIA CATALINA MANRIQUEZ GUADARRAMA,CINVESTAV,Servicios,AA-011L4J995-E1642-2021,,Servicios,08-06-2023,2021-12-10
2021,279119.0,2618462,CARL ZEISS DE MEXICO SA DE CV,HGM,Microscopio,AA-012NBD001-E484-2021,,Adquisiciones,08-06-2023,2021-10-11
2021,3812000.0,2618463,BRUKER MEXICANA SA DE CV,SGM,Rayos x,AA-010LAU001-E170-2021,,Adquisiciones,08-06-2023,2021-10-05
2021,440000.0,2658279,MARIA CELIA CATALINA MANRIQUEZ GUADARRAMA,CINVESTAV,Servicios,AA-011L4J995-E1643-2021,,Servicios,08-06-2023,2021-12-10
2021,2062718.93,2564514,IMPULSA INGENIERIA SA DE CV,CHIH,Agua equipos,LA-908040998-E1-2021,,Adquisiciones,08-06-2023,2021-06-09
2022,216490.0,2865533,MEDICAL RECOVERY SA DE CV,IMSS,Servicios,AA-050GYR058-E491-2022,,Adquisiciones,08-06-2023,2022-08-08
2021,1289116.0,2619367,GE SISTEMAS MEDICOS DE MEXICO SA DE CV,IMSS,Anestesia,IA-050GYR069-E190-2021,,Adquisiciones,08-06-2023,2021-10-01
2021,4631069.79,2657194,SERVICIOS DE INGENIERIA EN MEDICINA SA DE CV,INNN,Ventilacion,AA-012NCK001-E358-2021,,Adquisiciones,08-06-2023,2021-12-10
2021,61000.0,2535363,COMERCIALIZADORA INFINICOM,IMSS,Servicios,IA-050GYR008-E165-2021,,Servicios,08-06-2023,2021-06-17
2021,64090.0,2535364,SERVICIOS EN MANTENIMIENTO EN EQUIPO MEDICO S,IMSS,Servicios,IA-050GYR008-E165-2021,,Servicios,08-06-2023,2021-06-17
2021,51721.0,2657933,OLYMPUS AMERICA DE MEXICO SA DE CV,CICY,Servicios,AA-03890Q010-E324-2021,,Servicios,08-06-2023,2021-07-23
2022,26814.06,2779874,ALBAFECE COMERCIALIZADORA SA DE CV,CINVESTAV,Servicios,AA-011L4J994-E27-2022,,Adquisiciones,08-06-2023,2022-11-05
2022,7484349.91,2702854,INNTECSA INNOVACION TECNOLOGICA PARA LA SALUD,IMSS,Servicios,LA-050GYR028-E750-2021,,Servicios,08-06-2023,2022-10-01
2021,834900.0,2565401,MARITZA MARTINEZ MIJARES,IMSS,Servicios,IA-050GYR025-E233-2021,,Servicios,08-06-2023,2021-08-12
2022,44718.75,2821745,SOPORTE MEDICO INTEGRAL SA DE CV,IMSS,Accesorios,AA-050GYR082-E66-2022,,Adquisiciones,08-06-2023,2022-06-27
2021,469000.0,2610694,MAQUET MEXICANA S DE RL DE CV,INCMNSZ,Servicios,AA-012NCG001-E1502-2021,,Servicios,08-06-2023,2021-06-01
2022,925584.0,2765069,DEMANT MEXICO SA DE CV,INR,Servicios,AA-012NDF999-E225-2022,,Servicios,08-06-2023,2022-01-02
2021,36713.3,2568936,MARIA FERNANDA DIMAS ACOSTA,HRAEV,Servicios,AA-012NBT999-E330-2021,,Servicios,08-06-2023,2021-07-01
2021,1299710.08,2583235,ARKANUM SA DE CV,IMSS,Consumibles,LA-050GYR039-E57-2021,,Adquisiciones,08-06-2023,2021-07-29
2022,56180.0,2800830,ADRIAN SOLIS GONZALEZ,IMSS,,AA-050GYR082-E42-2022,,Adquisiciones,08-06-2023,2022-04-29
2021,200850.0,2568958,VICTOR MANUEL MELO SERRANO,IMSS,Consumibles,AA-050GYR033-E225-2021,,Adquisiciones,08-06-2023,2021-08-17
2022,595999.98,2823379,BIOMEDICS & REHABILITACION SA DE CV,INPER,Servicios,LA-012NDE001-E237-2022,,Servicios,08-06-2023,2022-04-08
2021,1375200.0,2568995,SERVICIOS BIOMEDICOS BAZAFI SA DE CV,IMSS,Consumibles,AA-050GYR033-E226-2021,,Adquisiciones,08-06-2023,2021-08-17
2021,206177.28,2471627,ROGAIN MEDICAL SA DE CV,INPSIQ,Servicios,AA-012M7F002-E33-2021,,Servicios,08-06-2023,2021-04-01
2021,699580.0,2567913,GELOSA MANTENIMIENTO Y CONSERVACION,IMSS,Servicios,IA-050GYR025-E237-2021,,Servicios,08-06-2023,2021-08-17
2022,1081200.0,2899115,R R MEDICA SA DE CV,IMSS,Servicios,IA-050GYR088-E141-2022,,Servicios,08-06-2023,2022-10-19
2021,133892.2,2471781,BECKMAN COULTER DE MEXICO SA DE CV,IPICYT,Servicios,AA-03891W001-E10-2021,,Servicios,08-06-2023,2021-03-23
2021,564000.0,2649319,QUANTUM MEDICAL GROUP SA DE CV,IMSS,,AA-050GYR032-E195-2021,,Adquisiciones,08-06-2023,2021-11-26
2021,366637.06,2649321,DISTRIBUIDORA MEDICA HIDROCALIDA DIMEHI SA DE,IMSS,,AA-050GYR032-E195-2021,,Adquisiciones,08-06-2023,2021-11-26
2022,12653904.76,2851933,GERD YERIK SA DE CV,IPN,Otros,LA-011B00001-E2958-2022,,Adquisiciones,08-06-2023,2022-08-30
2021,2699653.18,2583289,OBEA SA DE CV,IMSS,Consumibles,LA-050GYR039-E57-2021,,Adquisiciones,08-06-2023,2021-07-29
2022,1099975.32,2685899,SISTEMAS NEUMATICOS DE ENVIOS SA DE CV,IMSS,Servicios,AA-050GYR057-E49-2022,,Adquisiciones,08-06-2023,2022-04-02
2022,218922.9,2774802,SISTEMAS REGULADOS S DE RL DE CV,SGM,Servicios,AA-010LAU001-E66-2022,,Servicios,08-06-2023,2022-05-24
2022,2390800.0,2691424,ELECTRONICA Y MEDICINA SA,INCAN,Fuentes,AA-012NBV001-E6-2022,,Adquisiciones,08-06-2023,2022-01-29
2022,85250.0,2880908,INSTITUTO NACIONAL DE INVESTIGACIONES NUCLEAR,HRAEB,Servicios,EPO-012NBQ001-N182-2022,,Servicios,08-06-2023,2022-10-10
2022,128300.0,2861247,SISTEMAS REGULADOS S DE RL DE CV,SGM,Servicios,AA-010LAU001-E144-2022,,Servicios,08-06-2023,2022-09-13
2021,344827.59,2568436,RAUL ARMANDO SANCHEZ RUBIO CARRILLO,IMSS,Dental,LA-050GYR003-E694-2020,,Adquisiciones,08-06-2023,2021-01-05
2021,558710.19,2568437,VICTOR MANUEL COLLINS HERNANDEZ,IMSS,Ortopedia,LA-050GYR003-E694-2020,,Adquisiciones,08-06-2023,2021-01-05
2021,105050.0,2582166,DAVID AGUILAR SANCHEZ,SGM,Servicios,AA-010LAU001-E137-2021,,Servicios,08-06-2023,2021-08-31
2021,75200.0,2568652,INGENIERIA Y SISTEMAS PROFESIONALES KYOL SA D,IMSS,Servicios,AA-050GYR036-E210-2021,,Servicios,08-06-2023,2021-08-20
2021,13100.0,2658652,LUIS EDUARDO SAENZ PALLARES,IMSS,Consumibles,LA-050GYR013-E275-2021,,Adquisiciones,08-06-2023,2021-12-02
2021,3750000.0,2657203,DRAGER MEDICAL MEXICO SA DE CV,INNN,Anestesia,AA-012NCK001-E359-2021,,Adquisiciones,08-06-2023,2021-12-10
2021,6554148.0,2657234,BERCLAN SA DE CV,INNN,Mesas,AA-012NCK001-E361-2021,,Adquisiciones,08-06-2023,2021-12-10
2022,100200.0,2838505,MEDICA BESSER SA DE CV,IMSS,,AA-050GYR082-E76-2022,,Adquisiciones,08-06-2023,2022-07-19
2022,92030.04,2838507,FARMACEUTICOS MAYPO SA DE CV,IMSS,,AA-050GYR082-E76-2022,,Adquisiciones,08-06-2023,2022-07-19
2021,140854.0,2613136,SISTEMAS NEUMATICOS DE ENVIOS SA DE CV,IMSS,Servicios,AA-050GYR091-E127-2021,,Servicios,08-06-2023,2021-10-11
